Id,activity_data,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,day_of_week,total_minutes,weekday_weekend,activity_levels
1503960366,2016-12-05,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,0,Monday,1440,Weekday,Sedentary
6290855005,2016-10-05,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,0,Wednesday,1440,Weekday,Sedentary
8253242879,2016-04-30,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,0,Saturday,1440,Weekend,Sedentary
8583815059,2016-12-05,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,0,Monday,1440,Weekday,Sedentary
3977333714,2016-11-05,746,0.50,0.50,0.00,0.37,0.00,0.13,0.00,4,0,9,13,52,Saturday,26,Weekend,Sedentary
8792009665,2016-10-05,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,48,57,Wednesday,48,Weekday,Sedentary
7007744171,2016-07-05,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,111,120,Tuesday,111,Weekday,Sedentary
4319703577,2016-12-05,17,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0,0,2,0,257,Monday,2,Weekday,Sedentary
2347167796,2016-04-29,42,0.03,0.03,0.00,0.00,0.00,0.03,0.00,0,0,4,2,403,Friday,6,Weekday,Sedentary
1844505072,2016-12-05,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,711,665,Monday,711,Weekday,Sedentary
5553957443,2016-12-05,3121,2.04,2.04,0.00,0.58,0.40,1.06,0.00,8,6,48,222,741,Monday,284,Weekday,Sedentary
6962181067,2016-12-05,3587,2.37,2.37,0.00,0.00,0.25,2.11,0.00,0,8,105,127,928,Monday,240,Weekday,Sedentary
1624580081,2016-12-05,2971,1.93,1.93,0.00,0.00,0.00,1.92,0.01,0,0,107,890,1002,Monday,997,Weekday,Sedentary
