department,procurement_strategy,total_value
Accessibility Standards Canada | Normes dâaccessibilitÃ© Canada,Sole-Source / Non-Competitive,24297535.64
Accessibility Standards Canada | Normes dâaccessibilitÃ© Canada,Standing Offer / Supply Arrangement,111359.76
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,Sole-Source / Non-Competitive,209248734.42999998
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,Standing Offer / Supply Arrangement,38893365.08000002
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,Competitive,40048.14
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Sole-Source / Non-Competitive,2051861586.2200012
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Standing Offer / Supply Arrangement,339489391.02999705
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Competitive,96177844.40000015
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Other / Unspecified,26961991.079999994
Atlantic Canada Opportunities Agency | Agence de promotion Ã©conomique du Canada atlantique,Other / Unspecified,68608546.63000007
Atlantic Canada Opportunities Agency | Agence de promotion Ã©conomique du Canada atlantique,Sole-Source / Non-Competitive,26839000.700000007
Atlantic Canada Opportunities Agency | Agence de promotion Ã©conomique du Canada atlantique,Standing Offer / Supply Arrangement,10218318.410000002
Atlantic Canada Opportunities Agency | Agence de promotion Ã©conomique du Canada atlantique,Competitive,13805.55
Canada Border Services Agency | Agence des services frontaliers du Canada,Sole-Source / Non-Competitive,13138204662.459993
Canada Border Services Agency | Agence des services frontaliers du Canada,Standing Offer / Supply Arrangement,1965329941.1300035
Canada Border Services Agency | Agence des services frontaliers du Canada,Competitive,6687359.6499999985
Canada Border Services Agency | Agence des services frontaliers du Canada,Other / Unspecified,1546465.75
Canada Economic Development for Quebec Regions | DÃ©veloppement Ã©conomique Canada pour les rÃ©gions du QuÃ©bec,Other / Unspecified,63754822.50000002
Canada Economic Development for Quebec Regions | DÃ©veloppement Ã©conomique Canada pour les rÃ©gions du QuÃ©bec,Sole-Source / Non-Competitive,22679121.729999997
Canada Economic Development for Quebec Regions | DÃ©veloppement Ã©conomique Canada pour les rÃ©gions du QuÃ©bec,Standing Offer / Supply Arrangement,9253786.250000002
Canada Energy Regulator | La RÃ©gie de lâÃ©nergie du Canada,Sole-Source / Non-Competitive,309377205.10000044
Canada Energy Regulator | La RÃ©gie de lâÃ©nergie du Canada,Standing Offer / Supply Arrangement,27715169.220000003
Canada Energy Regulator | La RÃ©gie de lâÃ©nergie du Canada,Competitive,70998.76000000001
Canada Revenue Agency | Agence du revenu du Canada,Other / Unspecified,8698674127.680094
Canada Revenue Agency | Agence du revenu du Canada,Sole-Source / Non-Competitive,4581037358.279998
Canada Revenue Agency | Agence du revenu du Canada,Standing Offer / Supply Arrangement,2496899751.880003
Canada School of Public Service | Ãcole de la fonction publique du Canada,Sole-Source / Non-Competitive,849637970.8199998
Canada School of Public Service | Ãcole de la fonction publique du Canada,Standing Offer / Supply Arrangement,26616725.180000003
Canada School of Public Service | Ãcole de la fonction publique du Canada,Competitive,214613.6
Canada Water Agency | Agence de lâeau du Canada,Sole-Source / Non-Competitive,3019473.9699999993
Canada Water Agency | Agence de lâeau du Canada,Competitive,311112.65
Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiÃ¨ne et de sÃ©curitÃ© au travail,Standing Offer / Supply Arrangement,6112256.8500000015
Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiÃ¨ne et de sÃ©curitÃ© au travail,Sole-Source / Non-Competitive,4777679.29
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,Sole-Source / Non-Competitive,1055403862.9899995
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,Standing Offer / Supply Arrangement,238043611.37000018
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,Competitive,116410532.45999998
Canadian Grain Commission | Commission canadienne des grains,Standing Offer / Supply Arrangement,56462984.74000006
Canadian Grain Commission | Commission canadienne des grains,Sole-Source / Non-Competitive,36797454.76
Canadian Grain Commission | Commission canadienne des grains,Competitive,755368.47
Canadian Heritage | Patrimoine canadien,Other / Unspecified,528324010.5800001
Canadian Heritage | Patrimoine canadien,Sole-Source / Non-Competitive,483210571.8099991
Canadian Heritage | Patrimoine canadien,Standing Offer / Supply Arrangement,83855121.32999994
Canadian Heritage | Patrimoine canadien,Competitive,646389.3599999999
Canadian Human Rights Commission | Commission canadienne des droits de la personne,Sole-Source / Non-Competitive,32936665.08999998
Canadian Human Rights Commission | Commission canadienne des droits de la personne,Standing Offer / Supply Arrangement,9240815.410000002
Canadian Institutes of Health Research | Instituts de recherche en santÃ© du Canada,Sole-Source / Non-Competitive,83082839.50000006
Canadian Institutes of Health Research | Instituts de recherche en santÃ© du Canada,Standing Offer / Supply Arrangement,23392231.069999985
Canadian Institutes of Health Research | Instituts de recherche en santÃ© du Canada,Competitive,37261.55
Canadian Intergovernmental Conference Secretariat | SecrÃ©tariat des confÃ©rences intergouvernementales canadiennes,Sole-Source / Non-Competitive,5196559.999999999
Canadian Intergovernmental Conference Secretariat | SecrÃ©tariat des confÃ©rences intergouvernementales canadiennes,Standing Offer / Supply Arrangement,1215407.32
Canadian Intergovernmental Conference Secretariat | SecrÃ©tariat des confÃ©rences intergouvernementales canadiennes,Other / Unspecified,395268.05
Canadian Northern Economic Development Agency | Agence canadienne de dÃ©veloppement Ã©conomique du Nord,Sole-Source / Non-Competitive,3773206.290000001
Canadian Northern Economic Development Agency | Agence canadienne de dÃ©veloppement Ã©conomique du Nord,Standing Offer / Supply Arrangement,772978.1199999999
Canadian Northern Economic Development Agency | Agence canadienne de dÃ©veloppement Ã©conomique du Nord,Competitive,166512.34
Canadian Nuclear Safety Commission | Commission canadienne de sÃ»retÃ© nuclÃ©aire,Sole-Source / Non-Competitive,185753578.17999974
Canadian Nuclear Safety Commission | Commission canadienne de sÃ»retÃ© nuclÃ©aire,Standing Offer / Supply Arrangement,127521300.02999991
Canadian Nuclear Safety Commission | Commission canadienne de sÃ»retÃ© nuclÃ©aire,Competitive,17341.52
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des tÃ©lÃ©communications canadiennes,Sole-Source / Non-Competitive,128271883.65000005
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des tÃ©lÃ©communications canadiennes,Standing Offer / Supply Arrangement,21608770.099999983
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des tÃ©lÃ©communications canadiennes,Competitive,135369.15000000002
Canadian Space Agency | Agence spatiale canadienne,Sole-Source / Non-Competitive,28127388701.240025
Canadian Space Agency | Agence spatiale canadienne,Standing Offer / Supply Arrangement,12796528711.450008
Canadian Space Agency | Agence spatiale canadienne,Competitive,205564460.08999982
Canadian Transportation Agency | Office des transports du Canada,Sole-Source / Non-Competitive,77379193.85999998
Canadian Transportation Agency | Office des transports du Canada,Standing Offer / Supply Arrangement,16647228.249999998
Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives Ã  la Gendarmerie royale du Canada,Sole-Source / Non-Competitive,10079633.380000006
Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives Ã  la Gendarmerie royale du Canada,Standing Offer / Supply Arrangement,3710837.3399999994
Correctional Service of Canada | Service correctionnel du Canada,Sole-Source / Non-Competitive,10149113807.559967
Correctional Service of Canada | Service correctionnel du Canada,Standing Offer / Supply Arrangement,2070659656.390001
Correctional Service of Canada | Service correctionnel du Canada,Other / Unspecified,1778738132.0
Correctional Service of Canada | Service correctionnel du Canada,Competitive,234381234.1500002
Courts Administration Service | Service administratif des tribunaux judiciaires,Sole-Source / Non-Competitive,266303440.2599999
Courts Administration Service | Service administratif des tribunaux judiciaires,Standing Offer / Supply Arrangement,41118338.559999995
Courts Administration Service | Service administratif des tribunaux judiciaires,Other / Unspecified,21443836.889999993
Courts Administration Service | Service administratif des tribunaux judiciaires,Competitive,816619.0000000001
Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,Sole-Source / Non-Competitive,1440727123.2500088
Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,Standing Offer / Supply Arrangement,68698461.86000006
Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,Competitive,3284105.58
Department of Finance Canada | MinistÃ¨re des Finances Canada,Sole-Source / Non-Competitive,646209229.070001
Department of Finance Canada | MinistÃ¨re des Finances Canada,Standing Offer / Supply Arrangement,54881878.30000008
Department of Finance Canada | MinistÃ¨re des Finances Canada,Other / Unspecified,18190.0
"Department of Housing, Infrastructure and Communities | MinistÃ¨re du Logement, de lâInfrastructure et des CollectivitÃ©s",Sole-Source / Non-Competitive,24975247709.789986
"Department of Housing, Infrastructure and Communities | MinistÃ¨re du Logement, de lâInfrastructure et des CollectivitÃ©s",Standing Offer / Supply Arrangement,88104425.54000002
Department of Justice Canada | MinistÃ¨re de la Justice Canada,Sole-Source / Non-Competitive,523621490.87999934
Department of Justice Canada | MinistÃ¨re de la Justice Canada,Standing Offer / Supply Arrangement,141362167.31999993
Elections Canada | Ãlections Canada,Sole-Source / Non-Competitive,2620952651.6800036
Elections Canada | Ãlections Canada,Standing Offer / Supply Arrangement,95185773.73000003
Elections Canada | Ãlections Canada,Competitive,19269.81
Employment and Social Development Canada | Emploi et DÃ©veloppement social Canada,Sole-Source / Non-Competitive,29694777217.109898
Employment and Social Development Canada | Emploi et DÃ©veloppement social Canada,Other / Unspecified,6753873562.880008
Employment and Social Development Canada | Emploi et DÃ©veloppement social Canada,Standing Offer / Supply Arrangement,805261460.4300008
Employment and Social Development Canada | Emploi et DÃ©veloppement social Canada,Competitive,127873.41
Environment and Climate Change Canada | Environnement et Changement climatique Canada,Sole-Source / Non-Competitive,4287053395.920017
Environment and Climate Change Canada | Environnement et Changement climatique Canada,Other / Unspecified,2496336921.650013
Environment and Climate Change Canada | Environnement et Changement climatique Canada,Standing Offer / Supply Arrangement,1419238266.84
Environment and Climate Change Canada | Environnement et Changement climatique Canada,Competitive,425693256.5099999
Farm Products Council of Canada | Conseil des produits agricoles du Canada,Sole-Source / Non-Competitive,1241376.16
Farm Products Council of Canada | Conseil des produits agricoles du Canada,Competitive,190016.28
Farm Products Council of Canada | Conseil des produits agricoles du Canada,Standing Offer / Supply Arrangement,134800.19999999998
Federal Economic Development Agency for Northern Ontario | Agence fÃ©dÃ©rale de dÃ©veloppement Ã©conomique pour le Nord de lâOntario,Sole-Source / Non-Competitive,1272317.4899999998
Federal Economic Development Agency for Northern Ontario | Agence fÃ©dÃ©rale de dÃ©veloppement Ã©conomique pour le Nord de lâOntario,Standing Offer / Supply Arrangement,499800.81
Federal Economic Development Agency for Southern Ontario | Agence fÃ©dÃ©rale de dÃ©veloppement Ã©conomique pour le Sud de l'Ontario,Sole-Source / Non-Competitive,73540863.99
Federal Economic Development Agency for Southern Ontario | Agence fÃ©dÃ©rale de dÃ©veloppement Ã©conomique pour le Sud de l'Ontario,Standing Offer / Supply Arrangement,4884426.53
Federal Economic Development Agency for Southern Ontario | Agence fÃ©dÃ©rale de dÃ©veloppement Ã©conomique pour le Sud de l'Ontario,Competitive,136106.76
Financial Consumer Agency of Canada | Agence de la consommation en matiÃ¨re financiÃ¨re du Canada,Sole-Source / Non-Competitive,245546110.52000016
Financial Consumer Agency of Canada | Agence de la consommation en matiÃ¨re financiÃ¨re du Canada,Standing Offer / Supply Arrangement,26470531.339999992
Financial Consumer Agency of Canada | Agence de la consommation en matiÃ¨re financiÃ¨re du Canada,Competitive,40182.67
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opÃ©rations et dÃ©clarations financiÃ¨res du Canada,Sole-Source / Non-Competitive,132622182.97000004
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opÃ©rations et dÃ©clarations financiÃ¨res du Canada,Standing Offer / Supply Arrangement,53515668.629999995
Fisheries and Oceans Canada | PÃªches et OcÃ©ans Canada,Sole-Source / Non-Competitive,21005289463.23006
Fisheries and Oceans Canada | PÃªches et OcÃ©ans Canada,Standing Offer / Supply Arrangement,20487140534.92009
Fisheries and Oceans Canada | PÃªches et OcÃ©ans Canada,Competitive,15166963169.08
Fisheries and Oceans Canada | PÃªches et OcÃ©ans Canada,Other / Unspecified,7675585896.390014
Global Affairs Canada | Affaires mondiales Canada,Sole-Source / Non-Competitive,5430397886.580026
Global Affairs Canada | Affaires mondiales Canada,Other / Unspecified,3499618169.8800263
Global Affairs Canada | Affaires mondiales Canada,Competitive,1468135611.3499994
Global Affairs Canada | Affaires mondiales Canada,Standing Offer / Supply Arrangement,636458770.8399973
Health Canada | SantÃ© Canada,Sole-Source / Non-Competitive,5722223129.780039
Health Canada | SantÃ© Canada,Standing Offer / Supply Arrangement,584124982.8499997
Health Canada | SantÃ© Canada,Competitive,29515782.54000001
Immigration and Refugee Board of Canada | Commission de l'immigration et du statut de rÃ©fugiÃ© du Canada,Sole-Source / Non-Competitive,324223487.68999875
Immigration and Refugee Board of Canada | Commission de l'immigration et du statut de rÃ©fugiÃ© du Canada,Standing Offer / Supply Arrangement,53446434.40999998
Immigration and Refugee Board of Canada | Commission de l'immigration et du statut de rÃ©fugiÃ© du Canada,Competitive,244443.49
"Immigration, Refugees and Citizenship Canada | Immigration, RÃ©fugiÃ©s et CitoyennetÃ© Canada",Sole-Source / Non-Competitive,10912573365.410059
"Immigration, Refugees and Citizenship Canada | Immigration, RÃ©fugiÃ©s et CitoyennetÃ© Canada",Other / Unspecified,2093874866.3000093
"Immigration, Refugees and Citizenship Canada | Immigration, RÃ©fugiÃ©s et CitoyennetÃ© Canada",Standing Offer / Supply Arrangement,604037719.7400007
"Immigration, Refugees and Citizenship Canada | Immigration, RÃ©fugiÃ©s et CitoyennetÃ© Canada",Competitive,49046.9
Impact Assessment Agency of Canada | Agence d'Ã©valuation d'impact du Canada,Sole-Source / Non-Competitive,44069996.91000001
Impact Assessment Agency of Canada | Agence d'Ã©valuation d'impact du Canada,Other / Unspecified,22606516.749999985
Impact Assessment Agency of Canada | Agence d'Ã©valuation d'impact du Canada,Standing Offer / Supply Arrangement,9522069.320000004
Impact Assessment Agency of Canada | Agence d'Ã©valuation d'impact du Canada,Competitive,24901.7
Indigenous Services Canada | Services aux Autochtones Canada,Sole-Source / Non-Competitive,1655494330.9300015
Indigenous Services Canada | Services aux Autochtones Canada,Standing Offer / Supply Arrangement,344402533.74999976
Indigenous Services Canada | Services aux Autochtones Canada,Competitive,1016507.9599999997
"Innovation, Science and Economic Development Canada | Innovation, Sciences et DÃ©veloppement Ã©conomique Canada",Sole-Source / Non-Competitive,4045123434.130043
"Innovation, Science and Economic Development Canada | Innovation, Sciences et DÃ©veloppement Ã©conomique Canada",Standing Offer / Supply Arrangement,702877602.3200002
"Innovation, Science and Economic Development Canada | Innovation, Sciences et DÃ©veloppement Ã©conomique Canada",Competitive,11537219.460000003
International Joint Commission | Commission mixte internationale,Sole-Source / Non-Competitive,9213266.570000002
International Joint Commission | Commission mixte internationale,Standing Offer / Supply Arrangement,1071666.47
International Joint Commission | Commission mixte internationale,Competitive,480058.45999999996
Invest in Canada | Investir Au Canada,Sole-Source / Non-Competitive,247523555.6300001
Law Commission of Canada | Commission du droit du Canada,Sole-Source / Non-Competitive,399803.51
Law Commission of Canada | Commission du droit du Canada,Standing Offer / Supply Arrangement,24608.02
Library and Archives Canada | BibliothÃ¨que et Archives Canada,Sole-Source / Non-Competitive,273621891.42999995
Library and Archives Canada | BibliothÃ¨que et Archives Canada,Standing Offer / Supply Arrangement,167925770.41000012
Library and Archives Canada | BibliothÃ¨que et Archives Canada,Other / Unspecified,83152448.87000008
Military Grievances External Review Committee | ComitÃ© externe dâexamen des griefs militaires,Other / Unspecified,4405985.14
Military Grievances External Review Committee | ComitÃ© externe dâexamen des griefs militaires,Sole-Source / Non-Competitive,3321275.5799999996
Military Grievances External Review Committee | ComitÃ© externe dâexamen des griefs militaires,Standing Offer / Supply Arrangement,1623198.68
Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,Sole-Source / Non-Competitive,7736638.119999999
Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,Standing Offer / Supply Arrangement,186480.37000000002
National Defence | DÃ©fense nationale,Sole-Source / Non-Competitive,236920378256.7022
National Defence | DÃ©fense nationale,Standing Offer / Supply Arrangement,112085952316.7299
National Defence | DÃ©fense nationale,Other / Unspecified,85795890862.70972
National Defence | DÃ©fense nationale,Competitive,8001120682.909997
National Film Board | Office national du film,Sole-Source / Non-Competitive,76135935.18999997
National Film Board | Office national du film,Standing Offer / Supply Arrangement,30910879.749999996
National Film Board | Office national du film,Competitive,357959.37
National Gallery of Canada | MusÃ©e des beaux-arts du Canada,Sole-Source / Non-Competitive,18183894.520000003
National Gallery of Canada | MusÃ©e des beaux-arts du Canada,Competitive,3776980.46
National Gallery of Canada | MusÃ©e des beaux-arts du Canada,Standing Offer / Supply Arrangement,3175453.5499999993
National Research Council Canada | Conseil national de recherches Canada,Sole-Source / Non-Competitive,2775328136.8600125
National Research Council Canada | Conseil national de recherches Canada,Other / Unspecified,2310798699.5299935
National Research Council Canada | Conseil national de recherches Canada,Competitive,1099950036.9400003
National Research Council Canada | Conseil national de recherches Canada,Standing Offer / Supply Arrangement,889271567.5299997
National Security and Intelligence Review Agency | Office de surveillance des activitÃ©s en matiÃ¨re de sÃ©curitÃ© nationale et de renseignement,Sole-Source / Non-Competitive,15973203.579999998
National Security and Intelligence Review Agency | Office de surveillance des activitÃ©s en matiÃ¨re de sÃ©curitÃ© nationale et de renseignement,Standing Offer / Supply Arrangement,1838304.74
National Security and Intelligence Review Agency | Office de surveillance des activitÃ©s en matiÃ¨re de sÃ©curitÃ© nationale et de renseignement,Competitive,73556.8
Natural Resources Canada | Ressources naturelles Canada,Sole-Source / Non-Competitive,2091926971.6500046
Natural Resources Canada | Ressources naturelles Canada,Other / Unspecified,1268336740.7100012
Natural Resources Canada | Ressources naturelles Canada,Standing Offer / Supply Arrangement,398640962.2200007
Natural Resources Canada | Ressources naturelles Canada,Competitive,27254283.57
Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en gÃ©nie du Canada,Sole-Source / Non-Competitive,190955610.10000002
Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en gÃ©nie du Canada,Standing Offer / Supply Arrangement,36095190.27999998
Office of the Auditor General of Canada | Bureau du vÃ©rificateur gÃ©nÃ©ral du Canada,Sole-Source / Non-Competitive,130821446.25999998
Office of the Auditor General of Canada | Bureau du vÃ©rificateur gÃ©nÃ©ral du Canada,Standing Offer / Supply Arrangement,39579771.94000001
Office of the Auditor General of Canada | Bureau du vÃ©rificateur gÃ©nÃ©ral du Canada,Competitive,14809.36
Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat Ã  la magistrature fÃ©dÃ©rale Canada,Sole-Source / Non-Competitive,31808074.859999985
Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat Ã  la magistrature fÃ©dÃ©rale Canada,Standing Offer / Supply Arrangement,4797065.379999999
Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat Ã  la magistrature fÃ©dÃ©rale Canada,Competitive,24012.5
Office of the Commissioner of Lobbying of Canada | Commissariat au lobbying du Canada,Sole-Source / Non-Competitive,13457643.569999998
Office of the Commissioner of Lobbying of Canada | Commissariat au lobbying du Canada,Standing Offer / Supply Arrangement,1835320.9499999995
Office of the Commissioner of Official Languages | Commissariat aux langues officielles,Sole-Source / Non-Competitive,31944573.969999965
Office of the Commissioner of Official Languages | Commissariat aux langues officielles,Standing Offer / Supply Arrangement,4692850.009999999
Office of the Commissioner of Official Languages | Commissariat aux langues officielles,Competitive,43507.2
Office of the Information Commissioner of Canada | Commissariat Ã  l'information du Canada,Sole-Source / Non-Competitive,39305090.46000001
Office of the Information Commissioner of Canada | Commissariat Ã  l'information du Canada,Standing Offer / Supply Arrangement,3389950.07
Office of the Intelligence Commissioner | Bureau du commissaire au renseignement,Sole-Source / Non-Competitive,876409.73
Office of the Privacy Commissioner of Canada | Commissariat Ã  la protection de la vie privÃ©e du Canada,Sole-Source / Non-Competitive,51281842.42000001
Office of the Privacy Commissioner of Canada | Commissariat Ã  la protection de la vie privÃ©e du Canada,Standing Offer / Supply Arrangement,8440465.05
Office of the Privacy Commissioner of Canada | Commissariat Ã  la protection de la vie privÃ©e du Canada,Other / Unspecified,3661595.0899999994
Office of the Public Sector Integrity Commissioner of Canada | Commissariat Ã  l'intÃ©gritÃ© du secteur public du Canada,Sole-Source / Non-Competitive,15248430.320000004
Office of the Public Sector Integrity Commissioner of Canada | Commissariat Ã  l'intÃ©gritÃ© du secteur public du Canada,Standing Offer / Supply Arrangement,1308789.7799999998
Office of the Secretary to the Governor General | Bureau du secrÃ©taire du gouverneur gÃ©nÃ©ral,Standing Offer / Supply Arrangement,31491330.689999994
Office of the Secretary to the Governor General | Bureau du secrÃ©taire du gouverneur gÃ©nÃ©ral,Sole-Source / Non-Competitive,25177299.360000007
Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financiÃ¨res Canada,Sole-Source / Non-Competitive,958666461.9899992
Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financiÃ¨res Canada,Standing Offer / Supply Arrangement,111993505.39999996
Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financiÃ¨res Canada,Competitive,1303584.71
Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables,Other / Unspecified,528845.1699999999
Pacific Economic Development Canada | DÃ©veloppement Ã©conomique Canada pour le Pacifique,Sole-Source / Non-Competitive,7481235.7
Pacific Economic Development Canada | DÃ©veloppement Ã©conomique Canada pour le Pacifique,Standing Offer / Supply Arrangement,817511.2899999999
Parks Canada | Parcs Canada,Competitive,6163556254.250008
Parks Canada | Parcs Canada,Sole-Source / Non-Competitive,1662758564.8800073
Parks Canada | Parcs Canada,Standing Offer / Supply Arrangement,311022473.0099999
Parks Canada | Parcs Canada,Other / Unspecified,81332229.29000005
