fiscal_year,month,total_value,n_contracts
2019-2020,2,1098215588.6499991,6514
2013-2014,11,1012535709.8399999,3283
2018-2019,11,1424387456.3500001,5575
2019-2020,10,1801463038.9000006,5455
2017-2018,4,1289940783.0399992,5696
2014-2015,1,1194874635.4099998,4228
2009-2010,4,777051039.3099995,3087
2012-2013,11,1158679114.1999996,3687
2011-2012,4,1907132813.7100003,3826
2010-2011,4,1206942492.86,3722
2008-2009,3,1065324977.4900007,3851
2008-2009,12,1211442173.41,2460
2020-2021,7,1182655642.1800003,4118
2020-2021,8,1482989842.5699997,3945
2021-2022,7,1310721797.5300002,4826
2021-2022,8,1612739357.93,4512
2022-2023,6,1689581720.6399996,5437
2022-2023,12,4600567856.18,5296
2022-2023,3,2011014558.329999,6930
2023-2024,4,1002586295.8699998,5397
2024-2025,5,24028315217.85999,4924
2024-2025,9,3446164167.960005,4258
2025-2026,10,798496610.129999,6084
2025-2026,2,3135930813.3499956,5080
2007-2008,5,586127518.7300001,1646
2007-2008,9,348180763.6399999,1444
2004-2005,10,1509688257.3700006,1428
2004-2005,2,457300758.9,3053
2005-2006,5,182341030.35999998,1320
2005-2006,9,419994830.55999994,1808
2006-2007,5,89107932.57999998,1294
2006-2007,9,503658684.5499999,1001
2008-2009,6,7226908295.03,1680
2000-2001,7,13443456124.0,6
2003-2004,12,26468320.31,2
2000-2001,8,11867027.62,1
2003-2004,3,16771148.159999998,99
2002-2003,8,71883.0,1
2002-2003,7,6310313.93,1
2003-2004,6,85775503.95,2
2019-2020,1,1275092350.4800005,6365
2015-2016,7,1611455668.5899994,3834
2018-2019,4,1728670691.8999996,6643
2014-2015,2,1475195097.0000007,5078
2017-2018,11,2244698682.0,5280
2015-2016,8,698525621.0000002,3221
2016-2017,7,2351913480.3999996,3610
2013-2014,4,3839324814.4700027,3588
2014-2015,10,1703086187.0300004,3664
2011-2012,11,1216371437.2300005,4024
2016-2017,8,1276015711.1199994,3698
2009-2010,11,521797087.08000016,2504
2012-2013,4,1450415490.79,3311
2010-2011,11,534054230.9200002,3787
2007-2008,3,10888978388.019999,2592
2022-2023,5,10111089300.580002,5411
2022-2023,9,1893993706.1100001,4979
2023-2024,11,1102592619.1699998,5869
2024-2025,6,833476885.9600003,4331
2024-2025,12,2335463664.0999985,4431
2024-2025,3,28130805336.209988,5577
2025-2026,1,837946770.5699992,5443
2008-2009,9,292861970.0299999,1590
2006-2007,3,493125623.44,2181
2006-2007,12,11042562541.939999,1600
2007-2008,6,670140482.03,1787
2004-2005,1,212507787.87,2158
2005-2006,6,1966690648.3000002,1396
2005-2006,12,431417834.7199999,1548
2005-2006,3,867489214.8499997,2106
2006-2007,6,127976903.57,1328
2007-2008,12,18254870904.750004,1655
2008-2009,5,3236840210.86,1603
2003-2004,9,2047576.8,12
2003-2004,5,10567781.07,8
2017-2018,2,8651290295.789999,6759
2016-2017,3,1632800315.17,6301
2015-2016,3,4057444316.460001,6059
2019-2020,4,3897069896.8700013,6577
2015-2016,12,5484268306.58,3833
2015-2016,6,27480371098.000015,3873
2018-2019,1,1084349544.8100004,6431
2013-2014,1,618621136.6899999,4146
2016-2017,6,3361977460.420002,4060
2017-2018,10,2579458969.5199995,5210
2016-2017,12,9827475064.289999,3788
2020-2021,5,1025748278.99,3586
2010-2011,10,3048532956.84,3275
2011-2012,2,1143457275.94,5350
2011-2012,10,2778353013.760001,3561
2009-2010,10,611112127.63,2645
2014-2015,11,713150559.3399999,3366
2012-2013,1,16622988127.129997,4269
2010-2011,2,633884734.2899998,5591
2009-2010,2,473952875.3299996,3527
2020-2021,9,1121189925.8799996,4674
2021-2022,5,2481195046.1900015,4811
2021-2022,9,911913556.8899995,4912
2023-2024,10,2240735063.7699986,5616
2023-2024,2,4790406898.16,5845
2024-2025,7,4366005778.47,4559
2024-2025,8,3987069867.709999,4111
2025-2026,4,983017736.0999992,4892
2004-2005,4,209841835.60999998,1703
2005-2006,7,210852081.09000003,1483
2005-2006,8,252959883.92999998,1503
2006-2007,8,357385364.40999985,1222
2006-2007,7,165295243.56999996,1060
2007-2008,8,318855229.12,1483
2007-2008,7,302606913.48,1437
2001-2002,10,257039644.0,2
2026-2027,6,1179865.1500000001,13
2026-2027,12,120518.57,1
2001-2002,2,2226307.4899999998,3
2002-2003,9,31544729.04,3
2002-2003,5,241252.94,1
2015-2016,1,1258403171.6100006,4785
2018-2019,3,1934523411.4499996,6907
2016-2017,1,1340953162.46,5457
2013-2014,3,1345871922.880001,5073
2017-2018,5,1494302504.039999,4969
2019-2020,8,1440148198.8599997,4474
2017-2018,9,9702180487.379997,4967
2018-2019,6,2614783266.37,5626
2018-2019,12,1142560561.8100002,4664
2019-2020,7,10410906325.950005,5398
2012-2013,3,1357703278.88,4102
2013-2014,6,1948497860.3599992,3058
2013-2014,12,462289879.48999983,2642
2011-2012,9,4298393647.0199995,3509
2010-2011,5,862205524.5999999,2956
2012-2013,6,2062985762.29,3008
2012-2013,12,1093883637.9899998,3169
2011-2012,5,554351904.11,3125
2009-2010,9,343109415.8499997,2463
2010-2011,9,499884094.27999955,3343
2020-2021,10,2168125843.04,5393
2020-2021,2,1428353747.5900002,6064
2021-2022,10,1386528806.8799999,5184
2021-2022,2,1686950114.5599997,5723
2022-2023,11,2268505129.31,5933
2023-2024,5,2546419168.729998,5644
2023-2024,9,884546469.4700004,4916
2024-2025,4,1310956448.8299994,6112
2025-2026,7,1327535403.27,4935
2025-2026,8,1323922974.0100021,4242
2009-2010,5,713885973.76,2707
2004-2005,7,13072984106.660002,1638
2004-2005,8,275516294.13,1353
2005-2006,4,167849933.17,1527
2006-2007,4,283491511.67,1067
2007-2008,4,287072413.51,1532
2008-2009,11,8476097490.329999,2127
2001-2002,5,118558366.3,1
2002-2003,10,13605650.110000001,11
2002-2003,2,1769378010.9,9
1999-2000,2,38760.979999999996,3
2003-2004,11,13014.05,1
2019-2020,11,1195085779.9700007,5413
2014-2015,4,1142334867.4600008,4030
2018-2019,2,1466293353.5300002,6038
2017-2018,1,1293914703.3300004,6795
