department,hhi
Agriculture and Agri-Food Canada,152.24902594560535
Canadian Northern Economic Development Agency,298.30429000989363
Canadian Radio-television and Telecommunications Commission,301.73428215002616
Correctional Service of Canada,56.70259236688044
Crown-Indigenous Relations and Northern Affairs Canada,89.68777235005355
Office of the Commissioner of Lobbying of Canada,2082.678612203776
Office of the Commissioner of Official Languages,262.1397506987736
Office of the Intelligence Commissioner,4879.612763053366
Pacific Economic Development Canada | Développement économique Canada pour le Pacifique,559.1162430427762
Immigration and Refugee Board of Canada,127.12541276798486
Canada School of Public Service,3797.942358529105
Canada Water Agency,460.4571677194624
Federal Economic Development Agency for Southern Ontario,2294.7354214343222
Fisheries and Oceans Canada,1718.3863794714712
Courts Administration Service,555.8801733101672
National Research Council Canada,113.14329441329583
Indigenous Services Canada,573.6122561840914
Canadian Grain Commission,353.0679630446056
Canadian Transportation Agency,257.90671007610985
Global Affairs Canada | Affaires mondiales Canada,47.01337925599022
"Department of Housing, Infrastructure and Communities",3510.2621049081354
Employment and Social Development Canada,1130.920065868164
Natural Resources Canada,102.83361594560172
Office of the Information Commissioner of Canada,842.2875969979518
Office of the Taxpayers' Ombudsperson,1413.2864366965066
Law Commission of Canada,1100.0741116846114
Accessibility Standards Canada,567.4418571379882
Administrative Tribunals Support Service of Canada,638.1923420916298
Canada Energy Regulator,192.86448454260324
Canada Revenue Agency,341.57567204608927
Canadian Food Inspection Agency,111.14516522187996
Canadian Human Rights Commission,188.02286383000222
Financial Consumer Agency of Canada,945.5560409598432
Office of the Auditor General of Canada | Bureau du vérificateur général du Canada,335.7807549008171
Office of the Public Sector Integrity Commissioner of Canada,1479.3451866575397
Health Canada | Santé Canada,860.9954303807983
International Joint Commission,138.7142443694302
National Film Board,220.8938696554977
Library and Archives Canada,343.8172337462399
Canadian Heritage,94.19997352180353
Canadian Institutes of Health Research,135.1758816027979
Canadian Nuclear Safety Commission,807.0227710354632
Civilian Review and Complaints Commission for the RCMP,216.0570128127857
Military Grievances External Review Committee,228.70335198804864
Military Police Complaints Commission of Canada,326.20183296086486
Canada Border Services Agency | Agence des services frontaliers du Canada,870.6575624693897
Canadian Centre for Occupational Health and Safety,590.3015590855134
Canadian Intergovernmental Conference Secretariat,444.608919855792
Environment and Climate Change Canada,281.72136949701235
National Defence,168.83538400739906
Elections Canada,701.1989383162061
National Security and Intelligence Review Agency,1427.200506200056
Natural Sciences and Engineering Research Council of Canada,366.52485638640144
Office of the Secretary to the Governor General,1499.5736495196693
Parks Canada | Parcs Canada,126.46067107290617
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",733.2767845546565
Invest in Canada,3272.0833237736483
Atlantic Canada Opportunities Agency,71.20868570720677
Canada Economic Development for Quebec Regions,142.75813756075894
Canadian Space Agency,2913.3172460799683
Financial Transactions and Reports Analysis Centre of Canada,564.4888921222833
Department of Finance Canada,724.3457221552877
Department of Justice Canada,209.62606825222602
Office of the Commissioner for Federal Judicial Affairs Canada,191.56097068498175
Office of the Privacy Commissioner of Canada | Commissariat à la protection de la vie privée du Canada,966.8690520645148
Office of the Superintendent of Financial Institutions | Bureau du surintendant des institutions financières,429.80770268485645
Impact Assessment Agency of Canada,107.83528625438538
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",269.5218571405388
National Gallery of Canada,183.51848745156187
Farm Products Council of Canada,649.2178307564739
Federal Economic Development Agency for Northern Ontario | Agence fédérale de développement économique pour le Nord de l'Ontario,627.6361194696331
