department,total_value,indigenous_value,pct_indigenous
Elections Canada,2716157695.2200074,196354795.9200002,7.229138288456244
Financial Consumer Agency of Canada,272056824.5300002,18942285.73,6.962621049012207
Canadian Northern Economic Development Agency,4712696.749999998,284083.43,6.028043921985859
Canadian Human Rights Commission,42177480.499999985,2288139.6500000004,5.425026869492599
Administrative Tribunals Support Service of Canada,248182147.65,13021179.27,5.246622044855207
Farm Products Council of Canada,1566192.64,78551.95999999999,5.015472426176131
Indigenous Services Canada,2000913372.6400013,93457726.8,4.670753270877092
Courts Administration Service,329682234.70999974,14936557.080000006,4.530592039070208
Impact Assessment Agency of Canada,76223484.67999996,2788601.75,3.658454820987333
Crown-Indigenous Relations and Northern Affairs Canada,1512709690.690009,52212666.32,3.451598587709427
Canada Energy Regulator,337163373.0800005,9945790.079999998,2.9498429764611793
Agriculture and Agri-Food Canada,2514490812.730019,73532798.52,2.9243613914884174
Canadian Centre for Occupational Health and Safety,10889936.14,297318.38,2.730212337131299
Accessibility Standards Canada,24408895.400000002,588168.73,2.4096491068579855
Correctional Service of Canada,14232892830.099913,328795327.7200003,2.3101089261675574
Office of the Superintendent of Financial Institutions | Bureau du surintendant des institutions financières,1071963552.1,21186996.949999996,1.9764661688817875
Canadian Transportation Agency,94026422.10999991,1782592.8399999999,1.8958424664022364
Department of Justice Canada,664983658.2000006,12169675.08,1.830071300239358
Office of the Secretary to the Governor General,56668630.04999996,994112.3799999999,1.7542551833754811
Canadian Grain Commission,94015807.97000009,1596423.45,1.6980372604034948
Office of the Privacy Commissioner of Canada | Commissariat à la protection de la vie privée du Canada,63383902.56000001,975861.88,1.5396052319060611
Canada Economic Development for Quebec Regions,95687730.47999993,1408027.01,1.4714812473207286
Office of the Commissioner of Official Languages,36680931.17999996,530760.9,1.4469668106173759
Canadian Radio-television and Telecommunications Commission,150016022.90000007,2067793.27,1.3783816088621286
Canadian Food Inspection Agency,1409858006.819997,19027335.849999998,1.3495923531276084
Canadian Nuclear Safety Commission,313292219.72999966,3679729.32,1.1745358129771786
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",13610534998.34998,158162760.25999987,1.162061302360077
Atlantic Canada Opportunities Agency,105679671.28999996,1113459.12,1.053617130341474
Immigration and Refugee Board of Canada,377914365.58999944,3979037.66,1.0528939945926457
Federal Economic Development Agency for Southern Ontario,78561397.28000003,754459.7800000001,0.9603441462618546
Office of the Auditor General of Canada | Bureau du vérificateur général du Canada,170416027.55999961,1545635.7000000002,0.9069778952897004
Military Grievances External Review Committee,9350459.4,84081.56999999999,0.8992239461517794
Canada Revenue Agency,15776611237.839897,140158407.46000004,0.88839361854739
Employment and Social Development Canada,37254040113.82981,292466829.1099999,0.7850607027220854
National Security and Intelligence Review Agency,17885065.119999997,130680.26,0.7306669510186274
Natural Resources Canada,3786158958.1500087,25895016.030000005,0.6839389554487384
Fisheries and Oceans Canada,64334979063.61943,423783405.2199999,0.6587138309331382
Federal Economic Development Agency for Northern Ontario | Agence fédérale de développement économique pour le Nord de l'Ontario,1772118.3,11300.0,0.6376549466251773
Natural Sciences and Engineering Research Council of Canada,227050800.38000008,1381177.3099999998,0.6083120199040979
Office of the Public Sector Integrity Commissioner of Canada,16557220.099999996,98491.59999999999,0.5948558961295685
Invest in Canada,247523555.6300001,1248321.17,0.5043241912159661
Pacific Economic Development Canada | Développement économique Canada pour le Pacifique,8298746.990000001,41139.0,0.49572543963049526
Environment and Climate Change Canada,8628321840.92007,42659450.74,0.49441190913494093
Health Canada | Santé Canada,6335863895.170054,31122926.770000007,0.49121836082567344
Global Affairs Canada | Affaires mondiales Canada,11034610438.650032,41353824.019999996,0.3747646937779817
Office of the Commissioner for Federal Judicial Affairs Canada,36629152.73999999,108841.05,0.29714323662513425
Military Police Complaints Commission of Canada,7923118.489999999,22869.0,0.28863634980170544
Department of Finance Canada,701109297.370001,1928681.4,0.27508997630396054
Canadian Intergovernmental Conference Secretariat,6807235.370000001,17156.73,0.25203667961315107
National Film Board,107404774.30999996,247718.40999999997,0.2306400358749565
National Research Council Canada,7075348440.860012,13772977.32,0.19466147052859334
Canada School of Public Service,876469309.5999998,1423628.8400000003,0.16242768850054903
Civilian Review and Complaints Commission for the RCMP,13790470.720000014,21998.84,0.15952203841813442
Office of the Information Commissioner of Canada,42695040.53,49462.3,0.11585022378710458
Canada Border Services Agency | Agence des services frontaliers du Canada,15111768428.989975,16298601.760000004,0.10785370247424676
Canadian Heritage,1096036093.0799975,1060774.01,0.09678276260219618
Parks Canada | Parcs Canada,8218669521.430046,7945310.99,0.09667393206750474
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",4759538255.910037,3988042.16,0.08379052642444777
Library and Archives Canada,524700110.7099994,432182.47,0.0823675202612767
"Department of Housing, Infrastructure and Communities",25063352135.330006,10214612.939999998,0.04075517466636552
Financial Transactions and Reports Analysis Centre of Canada,186137851.6000001,48872.5,0.026256078266673175
Canadian Space Agency,41129481872.77987,1243156.26,0.003022542962844227
Canadian Institutes of Health Research,106512332.11999999,0.0,0.0
International Joint Commission,10764991.5,0.0,0.0
National Defence,442803342119.05194,0.0,0.0
National Gallery of Canada,25136328.53000002,0.0,0.0
Canada Water Agency,3330586.6199999996,0.0,0.0
Office of the Taxpayers' Ombudsperson,528845.1699999999,0.0,0.0
Law Commission of Canada,424411.53,0.0,0.0
Office of the Commissioner of Lobbying of Canada,15292964.519999996,0.0,0.0
Office of the Intelligence Commissioner,876409.73,0.0,0.0
