province,total_value,pct_of_total
Ontario (ON),119491762805.03,45.15
British Columbia (BC),57086491495.72,21.57
Quebec (QC),42202051049.14,15.94
Nova Scotia (NS),26030263549.08,9.83
Saskatchewan (SK),5278049593.91,1.99
Alberta (AB),5144663374.94,1.94
Newfoundland and Labrador (NL),3703088354.99,1.4
New Brunswick (NB),3545424186.37,1.34
Manitoba (MB),1019101442.6,0.39
Northwest Territories / Nunavut (NT/NU),988842919.53,0.37
Prince Edward Island (PE),138146247.76,0.05
Yukon (YT),38269202.66,0.01
Other / Unknown Location,13401185.04,0.01
