department,avg_days,median_days,n_contracts
Canadian Space Agency,872.9,476.0,4237
Canadian Transportation Agency,727.2,426.0,1241
Immigration and Refugee Board of Canada,623.9,729.0,5415
Employment and Social Development Canada,599.6,236.0,38024
"Department of Housing, Infrastructure and Communities",562.3,363.5,1282
Canada Border Services Agency | Agence des services frontaliers du Canada,559.8,363.0,12019
Office of the Superintendent of Financial Institutions | Bureau du surintendant des institutions financières,554.7,365.0,3181
Financial Consumer Agency of Canada,548.7,197.5,1550
Canadian Nuclear Safety Commission,539.6,369.0,2263
Crown-Indigenous Relations and Northern Affairs Canada,539.3,301.0,9135
Office of the Commissioner of Lobbying of Canada,490.7,228.0,168
Canada Revenue Agency,485.9,291.0,37815
Library and Archives Canada,474.4,311.5,2530
Elections Canada,468.8,354.0,3476
Natural Sciences and Engineering Research Council of Canada,462.2,364.0,1413
Accessibility Standards Canada,461.3,234.0,332
Canada School of Public Service,443.1,317.5,1090
Department of Justice Canada,442.9,296.0,4413
Indigenous Services Canada,430.4,253.0,7793
Office of the Public Sector Integrity Commissioner of Canada,409.2,236.0,190
Office of the Auditor General of Canada | Bureau du vérificateur général du Canada,404.3,313.5,2128
Canadian Grain Commission,402.5,238.0,1383
Office of the Information Commissioner of Canada,397.5,322.5,312
Health Canada | Santé Canada,395.9,260.0,14421
Pacific Economic Development Canada | Développement économique Canada pour le Pacifique,385.5,352.5,164
Military Police Complaints Commission of Canada,382.4,294.0,249
Financial Transactions and Reports Analysis Centre of Canada,374.5,350.0,1520
Administrative Tribunals Support Service of Canada,372.1,294.0,1512
Courts Administration Service,369.3,291.0,2564
Office of the Secretary to the Governor General,368.7,331.0,575
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",368.2,326.0,16360
Canadian Radio-television and Telecommunications Commission,361.2,356.0,1113
Office of the Commissioner of Official Languages,354.0,256.5,520
Canadian Food Inspection Agency,353.8,178.0,6422
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",350.5,251.0,22633
Invest in Canada,349.7,212.0,469
National Security and Intelligence Review Agency,344.1,280.0,149
Global Affairs Canada | Affaires mondiales Canada,343.3,103.0,74415
Canadian Human Rights Commission,336.6,199.0,811
Canadian Centre for Occupational Health and Safety,336.1,310.0,221
Canada Energy Regulator,335.3,315.5,1940
Canadian Institutes of Health Research,331.1,293.0,1471
Correctional Service of Canada,323.3,127.0,50164
Farm Products Council of Canada,311.1,251.0,43
Impact Assessment Agency of Canada,306.5,148.0,1377
Natural Resources Canada,304.2,123.0,31141
Canada Water Agency,302.7,225.5,74
Office of the Privacy Commissioner of Canada | Commissariat à la protection de la vie privée du Canada,301.2,277.5,792
Federal Economic Development Agency for Northern Ontario | Agence fédérale de développement économique pour le Nord de l'Ontario,300.0,267.0,42
Environment and Climate Change Canada,295.0,150.0,52581
Office of the Commissioner for Federal Judicial Affairs Canada,290.9,314.0,837
Department of Finance Canada,282.3,164.0,4249
Atlantic Canada Opportunities Agency,276.9,135.0,2523
Canada Economic Development for Quebec Regions,275.5,188.0,1863
Agriculture and Agri-Food Canada,275.4,119.0,19058
National Film Board,275.3,141.0,2193
Canadian Northern Economic Development Agency,264.7,133.0,121
Military Grievances External Review Committee,262.7,141.5,274
Parks Canada | Parcs Canada,261.9,121.0,19673
Canadian Heritage,258.1,119.0,11294
International Joint Commission,255.2,214.0,298
National Defence,251.3,87.0,321430
Fisheries and Oceans Canada,250.4,106.0,105450
National Research Council Canada,231.5,71.0,47008
Law Commission of Canada,226.9,249.0,18
National Gallery of Canada,223.7,162.0,495
Office of the Intelligence Commissioner,216.1,200.5,14
Civilian Review and Complaints Commission for the RCMP,213.7,147.0,301
Federal Economic Development Agency for Southern Ontario,205.3,121.0,993
Office of the Taxpayers' Ombudsperson,164.6,117.5,16
Canadian Intergovernmental Conference Secretariat,78.4,24.0,301
