department,total_value,exempt_value,pct_exempt
Office of the Taxpayers' Ombudsperson,528845.17,528845.17,100.0
Parks Canada | Parcs Canada,8218669521.43,7760697475.68,94.43
Canada Economic Development for Quebec Regions,95687730.48,81993999.54,85.69
Department of Finance Canada,701109297.37,589182834.83,84.04
Atlantic Canada Opportunities Agency,105679671.29,86618051.21,81.96
Office of the Public Sector Integrity Commissioner of Canada,16557220.1,13495704.6,81.51
Canadian Heritage,1096036093.08,863559668.88,78.79
Crown-Indigenous Relations and Northern Affairs Canada,1512709690.69,1191221555.92,78.75
Federal Economic Development Agency for Southern Ontario,78561397.28,61665373.42,78.49
Canada Revenue Agency,15776611237.84,12377533675.65,78.45
Office of the Commissioner of Official Languages,36680931.18,28034197.42,76.43
Military Grievances External Review Committee,9350459.4,7093861.61,75.87
Office of the Secretary to the Governor General,56668630.05,42772492.28,75.48
National Research Council Canada,7075348440.86,5127783423.07,72.47
Farm Products Council of Canada,1566192.64,1074882.24,68.63
Library and Archives Canada,524700110.71,352888759.08,67.26
Canada Energy Regulator,337163373.08,214601207.74,63.65
Administrative Tribunals Support Service of Canada,248182147.65,156569020.05,63.09
Canadian Institutes of Health Research,106512332.12,65749538.66,61.73
Natural Resources Canada,3786158958.15,2331494395.94,61.58
Canada Border Services Agency | Agence des services frontaliers du Canada,15111768428.99,9170111451.03,60.68
Impact Assessment Agency of Canada,76223484.68,45895511.33,60.21
Civilian Review and Complaints Commission for the RCMP,13790470.72,8289996.45,60.11
Global Affairs Canada | Affaires mondiales Canada,11034610438.65,6561628911.28,59.46
"Department of Housing, Infrastructure and Communities",25063352135.33,14702982831.82,58.66
Military Police Complaints Commission of Canada,7923118.49,4547044.86,57.39
Employment and Social Development Canada,37254040113.83,20701889944.52,55.57
Canadian Northern Economic Development Agency,4712696.75,2608480.52,55.35
Correctional Service of Canada,14232892830.1,7859193230.96,55.22
Canadian Radio-television and Telecommunications Commission,150016022.9,79782133.25,53.18
Fisheries and Oceans Canada,64334979063.62,34020396108.57,52.88
Office of the Commissioner of Lobbying of Canada,15292964.52,7937468.67,51.9
Office of the Commissioner for Federal Judicial Affairs Canada,36629152.74,18945162.74,51.72
Office of the Information Commissioner of Canada,42695040.53,21889840.89,51.27
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",13610534998.35,6956783968.07,51.11
International Joint Commission,10764991.5,5306193.25,49.29
Health Canada | Santé Canada,6335863895.17,3101493242.81,48.95
Department of Justice Canada,664983658.2,324273977.24,48.76
Canadian Food Inspection Agency,1409858006.82,676770568.96,48.0
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",4759538255.91,2263362140.07,47.55
National Film Board,107404774.31,50887303.69,47.38
Environment and Climate Change Canada,8628321840.92,3891861917.62,45.11
Canadian Nuclear Safety Commission,313292219.73,138048403.23,44.06
Agriculture and Agri-Food Canada,2514490812.73,1106950849.24,44.02
Canadian Human Rights Commission,42177480.5,18409789.76,43.65
National Defence,442803342119.05,187381590288.11,42.32
Office of the Privacy Commissioner of Canada | Commissariat à la protection de la vie privée du Canada,63383902.56,25989735.54,41.0
Office of the Superintendent of Financial Institutions | Bureau du surintendant des institutions financières,1071963552.1,387162242.29,36.12
Courts Administration Service,329682234.71,112508762.16,34.13
Canadian Intergovernmental Conference Secretariat,6807235.37,2291058.4,33.66
Canadian Centre for Occupational Health and Safety,10889936.14,3648156.44,33.5
Immigration and Refugee Board of Canada,377914365.59,117855469.8,31.19
Elections Canada,2716157695.22,790670407.04,29.11
Financial Consumer Agency of Canada,272056824.53,77457229.9,28.47
Canadian Transportation Agency,94026422.11,25885171.9,27.53
Office of the Auditor General of Canada | Bureau du vérificateur général du Canada,170416027.56,41726844.39,24.49
Financial Transactions and Reports Analysis Centre of Canada,186137851.6,44688201.17,24.01
Office of the Intelligence Commissioner,876409.73,198284.75,22.62
Indigenous Services Canada,2000913372.64,402051855.47,20.09
Accessibility Standards Canada,24408895.4,4604815.7,18.87
National Security and Intelligence Review Agency,17885065.12,3258211.09,18.22
Canadian Grain Commission,94015807.97,9384572.87,9.98
Canada School of Public Service,876469309.6,73951928.27,8.44
Canadian Space Agency,41129481872.78,3331057942.34,8.1
Pacific Economic Development Canada | Développement économique Canada pour le Pacifique,8298746.99,299658.56,3.61
Invest in Canada,247523555.63,7820375.0,3.16
Federal Economic Development Agency for Northern Ontario | Agence fédérale de développement économique pour le Nord de l'Ontario,1772118.3,22600.0,1.28
Natural Sciences and Engineering Research Council of Canada,227050800.38,0.0,0.0
Canada Water Agency,3330586.62,0.0,0.0
Law Commission of Canada,424411.53,0.0,0.0
National Gallery of Canada,25136328.53,0.0,0.0
