Metric,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26
# of API Calls Successful,"1,520,925,954","1,494,386,712","1,564,131,601","1,581,848,583","1,603,209,493","1,747,365,142","1,747,874,987","1,853,825,146","1,909,058,414","1,780,842,248","1,990,052,545","1,952,040,978","1,998,627,582","1,971,558,351","2,040,365,267","2,070,105,099","2,019,432,214","2,168,402,057","2,211,669,970","2,344,465,731","2,404,347,087","2,233,344,488","2,539,426,430","2,510,984,372","2,685,988,494"
# of API Calls Successful - AIS,"1,264,447,046","1,241,523,086","1,297,145,620","1,314,276,464","1,327,489,079","1,441,900,835","1,435,960,853","1,481,683,277","1,533,540,636","1,452,734,336","1,614,205,269","1,586,161,225","1,620,826,016","1,591,801,055","1,639,341,763","1,667,772,091","1,622,593,116","1,747,933,433","1,775,802,032","1,878,556,660","1,920,178,433","1,795,028,695","2,029,540,356","1,988,640,169","2,107,382,290"
# of API Calls Successful - PIS,"82,456,927","78,599,356","82,889,379","87,127,444","84,110,872","91,508,305","94,351,970","99,853,289","109,535,541","95,703,994","112,394,467","109,819,546","114,550,237","117,856,160","130,234,360","129,084,518","128,882,953","138,119,754","141,271,900","149,639,074","157,227,538","137,025,067","154,065,681","151,574,235","165,071,662"
# of API Calls Successful - COF,"2,325,324","2,457,001","2,801,520","2,828,592","2,812,465","2,922,481","2,958,455","3,236,202","4,207,622","3,376,042","4,155,121","4,272,163","4,289,805","4,151,946","4,370,568","4,343,528","4,634,623","4,930,633","4,615,609","4,800,381","5,770,142","4,307,063","5,490,407","5,419,739","5,518,659"
# of Non VRP Domestic Payments Successful,"15,605,632","15,911,890","17,083,773","17,314,847","17,228,045","18,660,501","19,006,914","20,366,495","22,015,521","20,311,952","23,540,588","23,445,538","23,972,140","23,573,628","25,630,075","26,406,593","26,175,322","27,988,532","27,444,333","28,676,996","30,449,558","27,426,985","31,394,909","30,986,215","32,816,197"
Vol VRP Payment Succeeded,"1,773,660","1,977,979","2,450,491","2,723,643","2,747,092","3,020,455","3,117,690","3,296,403","3,293,918","3,291,832","3,671,764","3,660,316","3,841,917","3,927,222","4,264,064","4,928,908","4,752,165","5,203,796","5,491,103","5,895,440","5,622,782","5,404,572","6,067,456","6,061,785","7,247,222"
# of API Calls Failed,"15,171,558","7,023,040","6,281,328","6,609,954","9,990,689","8,025,519","7,348,517","14,782,129","7,996,778","8,171,786","12,658,659","9,149,096","9,280,539","10,738,690","11,072,117","13,881,388","11,509,783","13,011,995","14,762,956","12,611,795","10,906,929","12,159,692","15,308,660","12,239,858","10,606,218"
# of API Calls failed for Business Reasons,"5,562,462","5,343,262","5,156,883","5,404,610","6,605,822","5,279,507","5,376,888","6,090,342","6,076,198","6,005,449","8,067,056","6,854,063","7,674,062","8,280,268","9,051,678","10,500,550","8,733,199","8,864,703","11,742,053","10,641,383","9,287,640","9,988,210","10,300,970","8,927,300","9,491,669"
% of API Calls failed for Business Reasons,0.36%,0.36%,0.33%,0.34%,0.41%,0.30%,0.31%,0.33%,0.32%,0.34%,0.40%,0.35%,0.38%,0.42%,0.44%,0.50%,0.43%,0.41%,0.53%,0.45%,0.38%,0.44%,0.40%,0.35%,0.35%
# of API Calls failed for Technical Reasons,"9,609,096","1,679,778","1,124,445","1,205,344","3,384,867","2,746,012","1,971,629","8,691,787","1,920,580","2,166,337","4,591,603","2,295,033","1,606,477","2,458,422","2,020,439","3,380,838","2,776,584","4,147,292","3,020,903","1,970,412","1,619,289","2,171,482","5,007,690","3,312,558","1,114,549"
% of API Calls failed for Technical Reasons,0.63%,0.11%,0.07%,0.08%,0.21%,0.16%,0.11%,0.47%,0.10%,0.12%,0.23%,0.12%,0.08%,0.12%,0.10%,0.16%,0.14%,0.19%,0.14%,0.08%,0.07%,0.10%,0.20%,0.13%,0.04%
# of API Calls with Rejected Status,"1,826,366","2,003,609","2,264,151","1,961,826","2,086,105","2,148,507","2,153,426","2,353,272","2,768,553","2,261,641","2,667,247","2,754,726","2,620,335","2,657,088","2,769,775","2,675,936","2,605,702","2,779,078","2,954,985","2,628,374","2,768,633","2,735,612","2,852,792","2,968,903","4,074,443"
% of API Calls with Rejected Status,0.12%,0.13%,0.14%,0.12%,0.13%,0.12%,0.12%,0.13%,0.14%,0.13%,0.13%,0.14%,0.13%,0.13%,0.14%,0.13%,0.13%,0.13%,0.13%,0.11%,0.11%,0.12%,0.11%,0.12%,0.15%
API Response Time,375,367,360,339,351,350,361,328,331,337,351,350,362,348,341.715944,342.0605475,325.3327238,330.9328135,331.0755231,323.8936411,325.126122,327.7751307,360.7721554,383.6360133,399.0492077
Availability %,99.45%,99.61%,99.79%,99.90%,99.44%,99.64%,99.61%,99.75%,99.52%,99.89%,99.48%,99.72%,99.88%,99.47%,99.62%,99.52%,99.53%,99.22%,99.30%,99.85%,99.88%,99.59%,98.89%,99.70%,99.54%
Availability % - AIS,98.62%,96.77%,99.07%,99.40%,99.01%,99.75%,99.36%,99.81%,99.19%,99.48%,98.89%,99.55%,99.78%,99.64%,99.62%,99.61%,99.66%,99.34%,99.55%,99.86%,99.92%,99.77%,99.52%,99.66%,99.55%
Availability % - PIS,99.49%,99.87%,99.85%,99.95%,99.47%,99.64%,99.64%,99.75%,99.59%,99.94%,99.56%,99.80%,99.88%,99.48%,99.71%,99.64%,99.68%,99.26%,99.34%,99.86%,99.91%,99.64%,98.87%,99.69%,99.55%
Availability % - Weighted,99.54%,99.83%,99.93%,99.94%,99.64%,99.83%,99.81%,99.79%,99.80%,99.95%,99.55%,99.80%,99.90%,99.74%,99.73%,99.96%,99.96%,99.80%,99.87%,99.90%,99.99%,99.98%,99.81%,99.59%,99.98%
Availability % - Weighted - AIS,99.54%,99.82%,99.93%,99.94%,99.53%,99.72%,99.69%,99.75%,99.80%,99.86%,99.53%,99.77%,99.89%,99.74%,99.72%,99.96%,99.95%,99.79%,99.86%,99.91%,99.98%,99.98%,99.80%,99.53%,99.98%
Availability % - Weighted - PIS,99.60%,99.90%,99.92%,99.96%,99.56%,99.67%,99.65%,99.77%,99.73%,99.89%,99.57%,99.84%,99.92%,99.61%,99.75%,99.94%,99.99%,99.83%,99.87%,99.88%,99.99%,99.95%,99.65%,99.77%,99.97%
